IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023
Annex_I,OECD_Europe,SWE,Sweden,1.A.3.a,Civil Aviation,CO2,fossil,1237.1255,1264.4735,1240.6515,1322.3345,1197.5,1185.6425,1175.086,1217.58,1224.282,1104.7795,1124.4675,1157.841,1197.159,1130.224,1200.287,1136.69,1337.672,1328.013,1432.6695,1579.348,1188.671,1214.3745,1299.837,817.7855,805.552,787.105,753.2855,784.025,762.498,777.876,713.3115,722.5295,599.5495,581.1025,664.114,684.02914,646.734845,632.151215,591.990625,518.655335,487.454745,535.598275,526.298245,529.82212,526.89882,520.60332,554.469055,561.247855,529.67444,476.087755,184.059565,210.513405,319.6973805,352.5357111
Annex_I,OECD_Europe,SWE,Sweden,1.A.3.b_noRES,Road Transportation no resuspension,CO2,fossil,11669.5514,11763.8595,12108.3766,13030.66316,13169.29158,13640.12354,14770.5763,15416.11348,15897.61156,15719.37978,15126.97578,14775.91788,14816.77502,15044.0055,15375.81858,15899.64954,16975.63858,17397.8363,18394.17466,18987.26186,17999.33456,17807.36824,18529.07482,18284.29299,19020.85686,19104.35112,18972.82476,19124.29476,19406.95362,19829.24982,19937.9799,19856.86461,20203.75422,20438.09883,20846.00853,19807.26559,19955.94787,20127.15881,19727.56439,19278.35236,19647.93617,19299.61651,18321.27677,17802.89157,17339.86898,17410.60982,16534.37841,16275.99335,15402.53693,15398.67806,14539.11982,14789.10769,12956.69872,12640.64642
Annex_I,OECD_Europe,SWE,Sweden,1.A.3.c,Railways,CO2,fossil,349.24982,289.89345,280.7001,280.82142,296.4834,289.74546,261.2142,255.0222,267.64884,166.69638,87.77988,116.18982,132.09444,204.15168,332.48286,367.20612,261.15354,192.1923,182.78298,170.33832,123.10974,116.79642,113.63976,113.5791,119.89242,123.10974,123.10974,110.4831,50.50656,25.25328,75.75984,75.75984,85.22982,78.9165,66.28986,65.055354,68.938194,66.179451,70.450575,62.922015,60.860553,59.843901,59.345208,52.956306,47.252088,46.106502,44.451849,41.772393,44.641545,44.540769,43.536714,35.6421,39.227799,38.27462777
Annex_I,OECD_Europe,SWE,Sweden,1.A.3.d,Water-borne Navigation,CO2,fossil,659.196,532.9296,523.6416,419.6538,283.73544,311.53878,311.3568,286.2855,261.03222,349.1154,349.41796,332.1189,335.09358,424.63494,564.9255,633.40146,642.0222,669.5199,685.66716,499.48488,454.13676,325.38096,306.80496,219.4497,200.8737,325.98756,245.61288,313.8462,408.12138,436.59198,486.91656,486.67392,461.35998,545.13396,466.1568,437.45421,440.224863,430.595226,424.854792,433.443141,469.015782,479.445654,441.403107,463.372608,448.710285,434.163258,458.08398,452.090607,455.088021,439.31739,340.010895,296.183445,296.5287831,280.7759766
Annex_I,OECD_Europe,SWE,Sweden,1.A.3.e,Other Transportation,CO2,fossil,,,,,,,,,,,,,,,142.0497,135.73638,160.98966,104.16978,88.38648,94.6998,91.54314,94.6998,94.6998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annex_I,OECD_Europe,SWE,Sweden,1.A.4,Residential and other sectors,CO2,fossil,29926.69448,28792.1399,28995.58018,29175.33932,23577.1275,27607.63961,29358.24029,27367.9109,25341.89196,26351.72362,22845.64756,21805.49774,18048.6403,15275.14024,13169.21619,13373.46981,14671.44074,13210.38783,12343.54523,10833.65355,10573.13199,10239.95247,10386.16284,9721.87031,10160.24616,10061.73279,10891.0903,9879.44643,9554.13723,9104.36758,7270.50688,7265.77742,7037.39226,7068.0193,5509.33241,5646.210396,4762.756925,4619.228995,4155.574963,3788.147484,3979.642534,3636.414124,3462.461906,3281.453707,3053.000091,2885.124068,2761.777806,2586.564386,2455.589445,2514.088025,2414.484807,2361.667794,2044.879623,1973.461259
Annex_I,OECD_Europe,SWE,Sweden,1.A.5,Non-Specified,CO2,fossil,6768.87788,6313.4423,6480.39005,6081.63354,5070.94236,5430.44232,6931.33506,7194.61638,3343.19238,3429.75906,3627.96372,4020.85242,3550.26042,2011.7304,748.31976,287.07642,,,,,,,,15.48,6.192,31.20264,3.15666,15.72264,22.03596,15.54066,138.58974,75.75984,154.4337,132.27642,91.48248,59.97654,53.66322,47.3499,22.09662,28.40994,25.25328,,,,,,,,,,,,,
Annex_I,OECD_Europe,SWE,Sweden,1.B.1,Solid Fuels,CO2,fossil,425.66164,260.121124,178.475686,466.037882,528.0647676,499.4319165,647.936988,484.6434527,676.0988848,743.6777272,783.7109464,680.1121968,636.1644423,568.4701403,685.4755603,583.4207863,578.9300216,542.5752232,500.3636928,688.71164,855.0335087,716.1638758,798.0210009,849.5042,1008.83289,1141.71679,1160.55972,1177.40256,1343.12474,1357.91656,1362.36148,1808.13704,1439.56,829.19472,682.58248,782.362685,2463.308205,1831.46948,1812.524565,1160.257775,1412.11916,601.91751,504.26175,411.79956,460.62132,556.42968,461.48376,405.9468,473.49888,607.76904,481.32984,354.45576,0,0
Annex_I,OECD_Europe,SWE,Sweden,1.B.2,Oil and Natural Gas,CO2,fossil,1840.933145,1838.695502,1734.943053,403.203718,749.221442,923.6502707,1219.960979,883.078179,693.8645448,936.6056244,831.0794072,626.9469732,545.7183783,351.3610223,412.8472888,448.9396242,498.4239722,432.0804938,554.9911332,503.7856211,602.4898419,564.3514769,323.5520118,561.8380131,889.5326105,767.2899416,363.9365582,535.9387962,669.4597612,710.3027679,669.2805812,702.8570897,665.1429528,351.1678767,402.0849961,272.3849663,492.3605869,497.6008062,464.9897132,333.1598633,522.4155896,344.9148622,236.5242426,222.8721541,345.1658869,211.9160605,511.0002205,247.8806382,121.593784,540.0655399,542.7686335,521.6149717,508.1900506,560.4803971
Annex_I,OECD_Europe,SWE,Sweden,2.A.1,Cement production,CO2,fossil,2005.64,1923.18,1815.03,1923.97,1660.56,1347.84,1143.87,1066.34,925.9,912.98,904.05,828.24,791.2,743.68,762.41,644.7,599.76,631.68,1191.67,1166.78,1220.96,1091.48,1043.64,1045.72,1062.36,1250.7274,1172.6,1064.46652,1094.55632,1100.44896,1242.43912,1285.45196,1233.28036,1162.19272,1240.51096,1277.79652,1383.2234,1296.50456,1374.7318,1214.7928,1275.83872,1323.054198,1439.65484,1351.4306,1353.16636,1469.48516,1480.24448,1439.36572,1515.006925,1380.592657,1062.71828,1174.489349,1109.894617,1109.894617
Annex_I,OECD_Europe,SWE,Sweden,2.A.2,Lime production,CO2,fossil,610.275,617.1,642.975,668.85,664.725,673.575,642.975,576.3,561.3,581.7,557.925,481.725,489.9,457.2,485.775,486.45,489.9,489.9,503.475,503.475,292.0255891,291.9993773,264.6045639,284.3251594,340.6986649,287.2590024,294.0332375,348.5587622,450.9072242,446.7366337,410.1085865,412.5,435,442.5,442.5,450,562.5,585,562.5,450,525,525,525,510,487.5,480,480,480,480,480,480,480,480,465
Annex_I,OECD_Europe,SWE,Sweden,2.A.3,Glass Production,CO2,fossil,28.17165234,28.31511786,28.42543842,28.512624,28.59196959,28.67439519,28.76518578,28.86091137,28.95373196,29.03188757,29.0882032,29.11931884,29.1321295,29.14168515,29.1686358,29.22782144,29.32249706,29.44779767,29.59987328,29.77182889,29.9568745,30.1578725,30.3722545,30.58125,30.760436,30.89352,30.97297,31.006871,31.014214,31.0225825,31.052994,31.109554,31.189046,31.296139,31.434487,31.6055705,31.8138695,32.0570425,32.3209635,32.5860325,32.8380395,33.0713775,33.2895955,33.30637354,33.50925339,33.71336905,33.88843496,34.06440995,34.24129873,34.42828377,37.97237181,36.26938265,36.26938265,36.26938265
Annex_I,OECD_Europe,SWE,Sweden,2.A.4,Other Process Uses of Carbonates,CO2,fossil,22.58685083,24.62754195,26.66823305,28.70892417,30.74961527,32.79030638,34.8309975,36.8716886,38.91237972,40.95260741,42.99376193,45.03352626,47.07607112,49.11351865,51.1606992,53.18795795,55.25555273,57.24167203,59.38933092,61.20862782,63.69569862,51.83788301,78.88191942,71.09194241,71.24932903,96.00798867,94.53470542,52.33091279,53.67253882,42.76001693,47.67878777,73.09582668,82.45838475,64.92041032,61.66198387,74.35957377,58.02243968,87.54637013,88.78182142,69.39717443,84.6625123,81.46892158,68.7162932,56.37235571,48.58649501,48.47765288,45.39039568,44.48907047,40.72334075,29.59702515,28.37642904,27.10379979,27.10379979,27.10379979
Annex_I,OECD_Europe,SWE,Sweden,2.B,Chemical Industry,CO2,fossil,825.282773,913.9591844,981.0085277,1048.046702,1089.425828,912.7296998,924.1152662,757.9959835,788.4516864,886.4396175,732.0288902,648.3646797,682.9511997,778.7684926,825.2220772,633.1396219,856.8422513,839.020059,817.154842,734.533254,842.162314,755.287838,775.407589,730.166922,842.497398,874.6238215,879.9235265,882.4835778,865.1594,612.4393512,797.1287416,1126.16364,1203.35964,1224.82064,1248.17792,1265.51357,1256.98068,1293.45617,1305.8196,1276.59613,1296.17276,1297.174425,1285.821396,1284.091396,1284.091396,1284.897896,1286.299196,1285.096163,1285.431085,1285.608815,1695.572634,1678.268694,1471.929014,1397.191088
Annex_I,OECD_Europe,SWE,Sweden,2.C,Metal Industry,CO2,fossil,1537.198007,1458.150306,1599.443957,1842.32971,1875.540543,1463.436906,1498.028835,1375.369038,1310.095218,1483.038473,1260.169116,1136.883744,859.4470101,780.1455682,940.6406377,950.6897279,916.878392,874.5064401,915.7750981,817.7434743,858.518723,739.9963672,871.8589535,907.6614099,929.9438487,901.3762265,953.1325097,979.2499549,823.0907051,786.7160378,959.8914335,930.1776458,992.6280344,966.0726285,1005.839014,981.1368922,962.5036611,915.7343266,837.314571,482.6166439,666.4059675,763.7548467,765.0087987,765.8051578,795.3952597,849.8751735,806.3981515,853.1150336,825.2942687,804.8127703,766.1523552,771.1392177,792.626858,765.0428421
